商品ID,商品名,カテゴリ,価格
101,ペネトレーションテスト,サイバーセキュリティ,6396
102,脆弱性診断,サイバーセキュリティ,4228
103,マルウェア解析,サイバーセキュリティ,7778
104,エシカルハッキング,サイバーセキュリティ,4221
105,セキュアコーディング,サイバーセキュリティ,7041
106,ゼロトラストセキュリティ,サイバーセキュリティ,3762
107,SOCとSIEM,サイバーセキュリティ,5994
108,セキュリティオペレーション,サイバーセキュリティ,4927
109,ブロックチェーン基礎,ブロックチェーン,1329
110,Ethereum開発,ブロックチェーン,4523
111,スマートコントラクト,ブロックチェーン,2530
112,NFTとメタバース,ブロックチェーン,3177
113,暗号通貨技術,ブロックチェーン,9080
114,分散型アプリ開発,ブロックチェーン,7431
115,DeFiと金融革命,ブロックチェーン,1804
116,ハッシュアルゴリズム,ブロックチェーン,6388
117,SQL入門,データベース,9518
118,NoSQL活用,データベース,1800
119,データベース設計,データベース,9339
120,分散データベース,データベース,2073
121,データモデリング,データベース,6606
122,トランザクション管理,データベース,8920
123,データベースパフォーマンス最適化,データベース,5242
124,HTML/CSS基礎,Web開発,6818
125,JavaScriptフレームワーク,Web開発,7741
126,React入門,Web開発,8760
127,Vue.js開発,Web開発,9864
128,フロントエンド最適化,Web開発,6877
129,WebAPI設計,Web開発,8063
130,バックエンド開発,Web開発,7863
131,フルスタック開発,Web開発,7450
132,Next.js活用,Web開発,6474
133,GraphQL入門,Web開発,6501
134,Android開発,モバイルアプリ,3535
135,iOSアプリ開発,モバイルアプリ,2472
136,React Native入門,モバイルアプリ,2615
137,Flutter実践,モバイルアプリ,6350
138,SwiftUI開発,モバイルアプリ,6241
139,Unityゲーム開発,ゲーム開発,2840
140,Unreal Engine活用,ゲーム開発,1200
141,ゲームデザイン理論,ゲーム開発,5092
142,3Dモデリング技術,ゲーム開発,9111
143,物理エンジン実装,ゲーム開発,2321
144,ゲームAI開発,ゲーム開発,6982
145,IoT基礎,IoT,7058
146,スマートデバイス開発,IoT,2886
147,エッジコンピューティング,IoT,3245
148,組み込みシステム,IoT,7553
149,センサーデータ処理,IoT,3828
150,IoTセキュリティ,IoT,1630
151,ロボット制御,ロボティクス,2169
152,ROSプログラミング,ロボティクス,7807
153,自律移動ロボット,ロボティクス,7627
154,ロボットアーム制御,ロボティクス,5539
155,ヒューマノイド開発,ロボティクス,4413
156,ロボティクスAI,ロボティクス,4082
