請求ID,顧客タイプ,性別,単価,数量,合計金額,取引日付,支払方法,評価
877-22-3308,Member,Female,15.87,10,166.635,3/13/2019,Cash,5.8
232-11-3025,Member,Female,78.77,10,827.085,1/24/2019,Cash,6.4
382-03-4532,Member,Female,18.33,1,19.2465,2/2/2019,Cash,4.3
287-21-9091,Member,Female,74.67,9,705.6315,1/22/2019,Ewallet,9.4
381-20-0914,Member,Female,20.01,9,189.0945,1/12/2019,Credit card,5.7
633-44-8566,Member,Female,49.38,7,362.943,3/27/2019,Credit card,7.3
504-35-8843,Member,Female,42.47,1,44.5935,1/2/2019,Cash,5.7
873-51-0671,Member,Female,21.98,7,161.553,1/10/2019,Ewallet,5.1
594-34-4444,Member,Female,97.16,1,102.018,3/8/2019,Ewallet,7.2
865-92-6136,Member,Female,52.75,3,166.1625,3/23/2019,Ewallet,9.3
212-62-1842,Member,Female,58.26,6,367.038,3/28/2019,Cash,9.9
704-48-3927,Member,Female,88.67,10,931.035,1/12/2019,Ewallet,7.3
630-74-5166,Member,Female,62.13,6,391.419,3/22/2019,Cash,7.4
645-44-1170,Member,Female,58.07,9,548.7615,1/19/2019,Ewallet,4.3
642-32-2990,Member,Female,10.96,10,115.08,2/2/2019,Ewallet,6
638-60-7125,Member,Female,99.56,8,836.304,2/14/2019,Credit card,5.2
668-90-8900,Member,Female,93.69,7,688.6215,3/10/2019,Credit card,4.5
870-54-3162,Member,Female,32.25,5,169.3125,1/27/2019,Cash,9
802-70-5316,Member,Female,92.13,6,580.419,3/6/2019,Cash,8.3
700-81-1757,Normal,Female,26.31,5,138.1275,1/18/2019,Credit card,8.8
354-39-5160,Member,Female,34.42,6,216.846,2/18/2019,Cash,9.8
575-30-8091,Normal,Female,72.5,8,609,3/16/2019,Ewallet,9.2
239-10-7476,Normal,Female,77.95,6,491.085,1/21/2019,Ewallet,8
685-64-1609,Member,Female,30.14,10,316.47,2/10/2019,Ewallet,9.2
238-49-0436,Normal,Male,32.46,8,272.664,3/27/2019,Credit card,4.9
746-94-0204,Normal,Male,83.24,9,786.618,1/29/2019,Credit card,7.4
782-95-9291,Member,Male,92.29,5,484.5225,2/20/2019,Credit card,9
275-28-0149,Normal,Male,63.69,1,66.8745,2/25/2019,Cash,6
101-17-6199,Normal,Male,45.79,7,336.5565,3/13/2019,Credit card,7
687-47-8271,Normal,Male,98.98,10,1039.29,2/8/2019,Credit card,8.7
796-32-9050,Normal,Male,51.28,6,323.064,1/19/2019,Cash,6.5
105-31-1824,Member,Male,69.52,7,510.972,2/1/2019,Credit card,8.5
249-42-3782,Normal,Male,70.01,5,367.5525,1/3/2019,Ewallet,5.5
827-26-2100,Member,Male,33.84,9,319.788,3/21/2019,Ewallet,8.8
175-54-2529,Member,Male,22.17,8,186.228,3/3/2019,Credit card,9.6
407-63-8975,Normal,Male,73.88,6,465.444,3/23/2019,Ewallet,4.4
851-28-6367,Member,Male,15.5,10,162.75,3/23/2019,Ewallet,8
586-25-0848,Normal,Female,12.34,7,90.699,3/4/2019,Credit card,6.7
400-60-7251,Normal,Male,74.07,1,77.7735,2/10/2019,Ewallet,9.9
831-07-6050,Normal,Male,32.71,5,171.7275,3/19/2019,Credit card,9.9
856-22-8149,Normal,Female,25.29,1,26.5545,3/23/2019,Ewallet,6.1
749-24-1565,Normal,Female,23.03,9,217.6335,1/3/2019,Ewallet,7.9
888-02-0338,Normal,Male,26.23,9,247.8735,1/25/2019,Ewallet,5.9
802-43-8934,Normal,Male,18.28,1,19.194,3/22/2019,Credit card,8.3
319-74-2561,Member,Female,94.64,3,298.116,2/21/2019,Cash,5.5
213-72-6612,Normal,Male,43.25,2,90.825,3/20/2019,Cash,6.2
721-86-6247,Normal,Female,63.42,8,532.728,3/11/2019,Ewallet,7.4
157-13-5295,Member,Male,51.94,10,545.37,3/9/2019,Ewallet,6.5
645-78-8093,Normal,Female,93.14,2,195.594,1/20/2019,Ewallet,4.1
478-06-7835,Normal,Male,89.69,1,94.1745,1/11/2019,Ewallet,4.9
540-11-4336,Normal,Male,24.94,9,235.683,1/11/2019,Credit card,5.6
448-81-5016,Normal,Male,59.77,2,125.517,3/11/2019,Credit card,5.8
217-58-1179,Member,Male,62.65,4,263.13,1/5/2019,Cash,4.2
530-90-9855,Member,Male,47.59,8,399.756,1/1/2019,Cash,5.7
604-70-6476,Member,Male,17.94,5,94.185,1/23/2019,Ewallet,6.8
799-71-1548,Member,Male,77.72,4,326.424,1/7/2019,Credit card,8.8
290-68-2984,Normal,Male,23.75,4,99.75,3/16/2019,Cash,5.2
704-11-6354,Member,Male,58.9,8,494.76,1/6/2019,Cash,8.9
366-93-0948,Member,Male,66.35,1,69.6675,1/31/2019,Credit card,9.7
729-09-9681,Member,Male,25.91,6,163.233,2/5/2019,Ewallet,8.7
151-16-1484,Member,Male,32.25,4,135.45,2/13/2019,Ewallet,6.5
850-41-9669,Normal,Female,75.06,9,709.317,3/19/2019,Ewallet,6.2
447-15-7839,Member,Female,22.24,10,233.52,2/9/2019,Cash,4.2
253-12-6086,Member,Female,98.4,7,723.24,3/12/2019,Credit card,8.7
144-51-6085,Member,Male,70.74,4,297.108,1/5/2019,Credit card,4.4
731-14-2199,Member,Female,35.54,10,373.17,1/4/2019,Ewallet,7
126-54-1082,Member,Female,21.54,9,203.553,1/7/2019,Credit card,8.8
633-91-1052,Normal,Female,12.03,2,25.263,1/27/2019,Cash,5.1
828-61-5674,Member,Male,44.02,10,462.21,3/20/2019,Credit card,9.6
136-08-6195,Normal,Female,69.96,8,587.664,2/15/2019,Credit card,6.4
490-29-1201,Normal,Female,15.34,1,16.107,1/6/2019,Cash,6.5
667-92-0055,Member,Male,99.83,6,628.929,3/4/2019,Ewallet,8.5
565-17-3836,Member,Female,47.67,4,200.214,3/12/2019,Cash,9.1
430-60-3493,Member,Female,94.88,7,697.368,2/3/2019,Cash,4.2
278-97-7759,Member,Female,62.48,1,65.604,2/18/2019,Cash,4.7
316-68-6352,Member,Female,36.36,2,76.356,1/21/2019,Cash,7.1
744-02-5987,Member,Male,78.38,6,493.794,1/10/2019,Ewallet,5.8
307-83-9164,Member,Male,60.01,4,252.042,1/25/2019,Cash,4.5
439-54-7422,Normal,Female,51.19,4,214.998,3/18/2019,Credit card,4.7
411-77-0180,Member,Male,72.2,7,530.67,3/26/2019,Ewallet,4.3
286-01-5402,Normal,Female,40.23,7,295.6905,3/30/2019,Cash,9.6
803-17-8013,Member,Female,88.79,8,745.836,2/17/2019,Cash,4.1
512-98-1403,Member,Female,26.48,3,83.412,3/21/2019,Ewallet,4.7
848-42-2560,Normal,Female,81.91,2,172.011,3/5/2019,Cash,7.8
870-76-1733,Member,Female,14.23,5,74.7075,2/1/2019,Credit card,4.4
423-64-4619,Member,Female,15.55,9,146.9475,3/7/2019,Cash,5
372-94-8041,Normal,Male,15.26,6,96.138,2/15/2019,Ewallet,9.8
563-91-7120,Normal,Female,61.77,5,324.2925,3/8/2019,Cash,6.7
746-54-5508,Normal,Male,21.52,6,135.576,1/17/2019,Credit card,9.4
815-11-1168,Member,Male,99.78,5,523.845,3/9/2019,Cash,5.4
340-66-0321,Member,Male,36.36,4,152.712,3/25/2019,Cash,7.6
634-97-8956,Normal,Male,32.9,3,103.635,2/17/2019,Credit card,9.1
566-71-1091,Normal,Male,77.02,5,404.355,2/3/2019,Cash,5.5
442-48-3607,Member,Male,23.48,2,49.308,3/14/2019,Credit card,7.9
527-09-6272,Member,Female,28.45,5,149.3625,3/21/2019,Credit card,9.1
898-04-2717,Normal,Male,76.4,9,721.98,3/19/2019,Ewallet,7.5
150-89-8043,Normal,Male,44.65,3,140.6475,2/14/2019,Cash,6.2
135-84-8019,Normal,Female,77.93,9,736.4385,2/27/2019,Ewallet,7.6
441-94-7118,Member,Male,71.95,1,75.5475,2/4/2019,Cash,7.3
531-80-1784,Normal,Male,26.02,7,191.247,3/28/2019,Cash,5.1
834-61-8124,Normal,Male,51.69,7,379.9215,1/26/2019,Cash,5.5
612-36-5536,Member,Male,80.96,8,680.064,2/17/2019,Credit card,7.4
462-67-9126,Normal,Male,73.22,6,461.286,1/21/2019,Cash,7.2
468-88-0009,Member,Male,65.94,4,276.948,3/24/2019,Cash,6
254-31-0042,Member,Male,21.5,9,203.175,3/6/2019,Credit card,7.8
422-29-8786,Normal,Female,67.09,5,352.2225,1/3/2019,Credit card,9.1
667-23-5919,Member,Female,96.7,5,507.675,1/14/2019,Ewallet,7
289-15-7034,Member,Male,82.33,4,345.786,1/11/2019,Credit card,7.5
662-72-2873,Normal,Female,40.94,5,214.935,1/6/2019,Ewallet,9.9
725-56-0833,Normal,Female,32.32,10,339.36,2/20/2019,Credit card,10
563-36-9814,Member,Male,76.82,1,80.661,2/13/2019,Ewallet,7.2
308-47-4913,Member,Female,52.26,10,548.73,3/9/2019,Credit card,6.2
885-17-6250,Normal,Female,79.74,1,83.727,3/6/2019,Ewallet,7.3
726-27-2396,Normal,Female,77.5,5,406.875,1/24/2019,Ewallet,4.3
316-01-3952,Normal,Female,54.27,5,284.9175,3/13/2019,Ewallet,4.6
882-40-4577,Member,Male,67.26,4,282.492,1/19/2019,Credit card,8
732-67-5346,Normal,Male,13.79,5,72.3975,1/11/2019,Credit card,7.8
256-08-8343,Normal,Female,56.53,4,237.426,3/4/2019,Ewallet,5.5
132-23-6451,Member,Male,20.97,5,110.0925,1/4/2019,Cash,7.8
696-90-2548,Normal,Male,25.84,3,81.396,3/10/2019,Ewallet,6.6
472-15-9636,Normal,Male,50.93,8,427.812,3/22/2019,Ewallet,9.2
745-71-3520,Member,Female,25.22,7,185.367,2/4/2019,Cash,8.2
269-10-8440,Member,Male,53.17,7,390.7995,1/21/2019,Cash,8.9
325-77-6186,Member,Female,90.65,10,951.825,3/8/2019,Ewallet,7.3
459-50-7686,Normal,Female,23.46,6,147.798,1/13/2019,Ewallet,6.4
345-08-4992,Normal,Male,33.99,6,214.137,3/8/2019,Credit card,7.7
138-17-5109,Member,Female,89.21,9,843.0345,1/15/2019,Credit card,6.5
301-11-9629,Normal,Female,19.1,7,140.385,1/15/2019,Cash,9.7
727-17-0390,Normal,Female,63.61,5,333.9525,3/16/2019,Ewallet,4.8
568-88-3448,Normal,Male,25,1,26.25,3/3/2019,Ewallet,5.5
187-83-5490,Member,Male,20.77,4,87.234,1/31/2019,Cash,4.7
470-32-9057,Member,Male,51.34,5,269.535,3/28/2019,Credit card,9.1
340-21-9136,Member,Female,40.05,4,168.21,1/25/2019,Cash,9.7
405-31-3305,Member,Male,43.13,10,452.865,2/2/2019,Credit card,5.5
676-39-6028,Member,Female,64.44,5,338.31,3/30/2019,Cash,6.6
502-05-1910,Normal,Male,65.18,3,205.317,2/25/2019,Credit card,6.3
485-30-8700,Normal,Female,33.26,5,174.615,3/18/2019,Credit card,4.2
575-67-1508,Normal,Male,38.6,1,40.53,1/29/2019,Ewallet,6.7
674-15-9296,Normal,Male,37.14,5,194.985,1/8/2019,Ewallet,5
795-49-7276,Normal,Male,37.15,4,156.03,3/23/2019,Ewallet,8.3
510-09-5628,Member,Female,19.66,10,206.43,3/15/2019,Credit card,7.2
420-18-8989,Member,Female,51.52,8,432.768,2/2/2019,Cash,9.6
726-29-6793,Member,Male,24.18,8,203.112,1/28/2019,Ewallet,9.8
209-61-0206,Normal,Female,42.91,5,225.2775,1/5/2019,Ewallet,6.1
595-27-4851,Normal,Female,54.28,7,398.958,1/27/2019,Ewallet,9.3
189-52-0236,Normal,Male,99.55,7,731.6925,3/14/2019,Cash,7.6
220-28-1851,Normal,Male,34.73,2,72.933,3/1/2019,Ewallet,9.7
609-81-8548,Member,Female,37.44,6,235.872,2/6/2019,Credit card,5.9
534-01-4457,Normal,Male,81.71,6,514.773,1/27/2019,Credit card,8
719-89-8991,Member,Female,91.41,5,479.9025,2/25/2019,Ewallet,7.1
827-77-7633,Normal,Male,98.09,9,926.9505,2/17/2019,Cash,9.3
287-83-1405,Normal,Male,25.43,6,160.209,2/12/2019,Ewallet,7
435-13-4908,Member,Male,86.68,8,728.112,1/24/2019,Credit card,7.2
892-05-6689,Normal,Female,28.32,5,148.68,3/11/2019,Ewallet,6.2
643-38-7867,Normal,Male,97.94,1,102.837,3/7/2019,Ewallet,6.9
308-81-0538,Normal,Female,73.05,4,306.81,2/25/2019,Credit card,4.9
460-35-4390,Normal,Male,30.68,3,96.642,1/22/2019,Ewallet,9.1
647-50-1224,Normal,Female,29.42,10,308.91,1/12/2019,Ewallet,8.9
541-48-8554,Normal,Male,60.95,9,575.9775,1/7/2019,Credit card,6
213-32-1216,Normal,Female,66.06,6,416.178,1/23/2019,Cash,7.3
134-75-2619,Member,Male,19.32,7,142.002,3/25/2019,Cash,6.9
712-39-0363,Member,Male,41.66,6,262.458,1/2/2019,Ewallet,5.6
218-59-9410,Member,Female,72.42,3,228.123,3/29/2019,Ewallet,8.2
760-90-2357,Member,Male,74.51,6,469.413,3/20/2019,Ewallet,5
698-98-5964,Normal,Female,81.21,10,852.705,1/17/2019,Credit card,6.3
651-88-7328,Normal,Female,65.74,9,621.243,1/1/2019,Cash,7.7
239-48-4278,Member,Male,10.13,7,74.4555,3/10/2019,Ewallet,8.3
550-84-8664,Normal,Male,85.91,5,451.0275,3/22/2019,Credit card,8.6
797-88-0493,Normal,Female,64.27,4,269.934,3/26/2019,Cash,7.7
443-82-0585,Member,Female,77.68,4,326.256,2/1/2019,Cash,8.4
127-47-6963,Normal,Male,51.71,4,217.182,3/9/2019,Credit card,9.8
278-86-2735,Normal,Female,52.34,3,164.871,3/27/2019,Cash,9.2
695-28-6250,Normal,Female,43.06,5,226.065,2/4/2019,Ewallet,7.7
227-50-3718,Normal,Male,14.62,5,76.755,3/4/2019,Cash,4.4
560-49-6611,Member,Female,45.58,1,47.859,2/7/2019,Cash,9.8
880-35-0356,Member,Female,75.2,3,236.88,2/5/2019,Ewallet,4.8
152-68-2907,Normal,Male,52.2,3,164.43,2/15/2019,Credit card,9.5
334-64-2006,Member,Female,70.32,2,147.672,3/24/2019,Ewallet,9.6
559-98-9873,Member,Female,53.65,7,394.3275,2/10/2019,Ewallet,5.2
318-12-0304,Normal,Male,30.61,1,32.1405,1/23/2019,Ewallet,5.2
421-95-9805,Normal,Female,28.96,1,30.408,2/7/2019,Credit card,6.2
443-59-0061,Member,Male,67.45,10,708.225,2/3/2019,Ewallet,4.2
509-29-3912,Member,Female,38.72,9,365.904,3/20/2019,Ewallet,4.2
828-46-6863,Member,Male,98.53,6,620.739,1/23/2019,Credit card,4
420-97-3340,Normal,Female,71.68,3,225.792,3/28/2019,Credit card,9.2
436-54-4512,Member,Female,91.61,1,96.1905,3/20/2019,Cash,9.8
816-57-2053,Normal,Male,60.87,2,127.827,3/9/2019,Ewallet,8.7
856-66-2701,Member,Male,53.3,3,167.895,1/25/2019,Ewallet,7.5
308-39-1707,Normal,Female,12.09,1,12.6945,1/26/2019,Credit card,8.2
149-61-1929,Normal,Male,64.19,10,673.995,1/19/2019,Credit card,6.7
655-07-2265,Normal,Male,78.31,3,246.6765,3/5/2019,Ewallet,5.4
589-02-8023,Member,Male,83.77,2,175.917,1/15/2019,Credit card,7
610-46-4100,Normal,Male,28.95,7,212.7825,3/3/2019,Credit card,6
706-36-6154,Member,Male,19.36,9,182.952,1/18/2019,Ewallet,8.7
742-04-5161,Member,Male,72.78,10,764.19,2/3/2019,Cash,7.3
169-52-4504,Normal,Female,15.69,3,49.4235,3/14/2019,Credit card,5.8
562-12-5430,Member,Female,88.15,3,277.6725,1/18/2019,Ewallet,7.9
816-72-8853,Member,Female,27.93,5,146.6325,1/29/2019,Cash,5.9
491-38-3499,Member,Male,55.45,1,58.2225,2/26/2019,Credit card,4.9
518-17-2983,Normal,Female,48.63,4,204.246,2/4/2019,Ewallet,7.6
588-47-8641,Member,Male,56.04,10,588.42,1/14/2019,Ewallet,4.4
811-03-8790,Normal,Female,45.48,10,477.54,3/1/2019,Credit card,4.8
274-05-5470,Member,Female,73.47,4,308.574,2/23/2019,Cash,6
130-67-4723,Member,Male,48.5,6,305.55,1/11/2019,Ewallet,9.4
105-10-6182,Member,Male,21.48,2,45.108,2/27/2019,Ewallet,6.6
648-83-1321,Member,Male,63.56,10,667.38,1/16/2019,Cash,4.3
305-03-2383,Normal,Female,67.1,3,211.365,2/15/2019,Cash,7.5
689-05-1884,Member,Male,48.63,10,510.615,3/4/2019,Cash,8.8
800-09-8606,Member,Female,87.37,5,458.6925,1/29/2019,Cash,6.6
182-52-7000,Member,Female,27.04,4,113.568,1/1/2019,Ewallet,6.9
868-06-0466,Member,Male,69.58,9,657.531,2/19/2019,Credit card,7.8
445-30-9252,Normal,Male,25.7,3,80.955,1/17/2019,Ewallet,6.1
786-94-2700,Member,Male,80.62,6,507.906,2/28/2019,Cash,9.1
258-92-7466,Normal,Female,35.68,5,187.32,2/6/2019,Credit card,6.6
857-16-3520,Member,Female,71.46,7,525.231,3/28/2019,Ewallet,4.5
482-17-1179,Member,Male,11.94,3,37.611,1/19/2019,Credit card,8.1
788-21-5741,Normal,Male,45.38,3,142.947,2/17/2019,Credit card,7.2
247-11-2470,Member,Female,22.32,4,93.744,3/1/2019,Credit card,4.4
635-28-5728,Normal,Male,56,3,176.4,2/28/2019,Ewallet,4.8
756-49-0168,Member,Male,19.7,1,20.685,2/8/2019,Ewallet,9.5
805-86-0265,Normal,Male,93.96,9,887.922,3/20/2019,Cash,9.8
373-14-0504,Member,Female,71.63,2,150.423,2/12/2019,Ewallet,8.8
546-80-2899,Member,Male,37.69,2,79.149,2/20/2019,Ewallet,9.5
585-86-8361,Normal,Female,27.28,5,143.22,2/3/2019,Credit card,8.6
807-14-7833,Member,Female,17.42,10,182.91,2/22/2019,Ewallet,7
652-43-6591,Normal,Female,97.29,8,817.236,3/9/2019,Credit card,6.2
406-46-7107,Normal,Female,96.52,6,608.076,1/11/2019,Cash,4.5
250-17-5703,Member,Male,18.85,10,197.925,2/27/2019,Ewallet,5.6
156-95-3964,Normal,Female,55.39,4,232.638,3/25/2019,Ewallet,8
410-67-1709,Member,Female,63.88,8,536.592,1/20/2019,Ewallet,9.9
587-73-4862,Member,Female,10.69,5,56.1225,3/26/2019,Ewallet,7.6
787-87-2010,Member,Male,55.5,4,233.1,1/20/2019,Credit card,6.6
886-54-6089,Normal,Female,11.43,6,72.009,1/15/2019,Cash,7.7
534-53-3526,Normal,Female,94.76,4,397.992,2/11/2019,Ewallet,7.8
307-04-2070,Member,Female,30.62,1,32.151,2/5/2019,Credit card,4.1
404-91-5964,Normal,Male,74.58,7,548.163,2/4/2019,Credit card,9
497-37-6538,Normal,Male,58.91,7,432.9885,1/17/2019,Ewallet,9.7
651-96-5970,Normal,Male,46.41,1,48.7305,3/3/2019,Credit card,4
263-12-5321,Member,Male,92.6,7,680.61,2/27/2019,Credit card,9.3
702-72-0487,Normal,Female,46.61,2,97.881,2/26/2019,Credit card,6.6
864-24-7918,Member,Female,24.49,10,257.145,2/22/2019,Cash,8.1
759-29-9521,Member,Female,48.96,9,462.672,3/4/2019,Cash,8
220-68-6701,Normal,Female,77.47,4,325.374,3/17/2019,Cash,4.2
618-34-8551,Normal,Female,93.18,2,195.678,1/16/2019,Credit card,8.5
257-60-7754,Normal,Female,50.23,4,210.966,1/8/2019,Cash,9
380-60-5336,Normal,Female,40.26,10,422.73,2/24/2019,Credit card,5
674-56-6360,Normal,Male,95.15,1,99.9075,3/22/2019,Cash,6
778-34-2523,Member,Female,48.62,8,408.408,1/24/2019,Cash,5
832-51-6761,Normal,Male,33.88,8,284.592,1/19/2019,Ewallet,9.6
186-43-8965,Member,Female,47.68,2,100.128,2/24/2019,Credit card,4.1
276-75-6884,Normal,Female,68.71,3,216.4365,3/4/2019,Cash,8.7
569-76-2760,Member,Female,22.01,4,92.442,1/29/2019,Credit card,6.6
760-53-9233,Member,Male,41.28,3,130.032,3/26/2019,Credit card,8.5
416-17-9926,Member,Female,74.22,10,779.31,1/1/2019,Credit card,4.3
237-44-6163,Normal,Male,10.56,8,88.704,1/24/2019,Cash,7.6
528-14-9470,Member,Male,91.3,1,95.865,2/14/2019,Ewallet,9.2
807-34-3742,Normal,Male,52.38,1,54.999,3/26/2019,Cash,5.8
288-62-1085,Member,Male,38.54,5,202.335,1/9/2019,Ewallet,5.6
497-36-0989,Normal,Male,51.94,3,163.611,2/15/2019,Cash,7.9
860-73-6466,Member,Female,39.47,2,82.887,3/2/2019,Credit card,5
896-34-0956,Normal,Male,21.32,1,22.386,1/26/2019,Cash,5.9
804-38-3935,Member,Male,93.78,3,295.407,1/30/2019,Credit card,5.9
585-90-0249,Member,Male,73.26,1,76.923,1/27/2019,Ewallet,9.7
125-45-2293,Normal,Female,99.1,6,624.33,1/19/2019,Cash,4.2
843-73-4724,Normal,Male,74.1,1,77.805,1/25/2019,Cash,9.2
409-33-9708,Normal,Female,98.48,2,206.808,2/19/2019,Ewallet,9.2
160-22-2687,Member,Female,95.95,5,503.7375,1/23/2019,Ewallet,8.8
748-45-2862,Member,Female,28.31,4,118.902,3/7/2019,Cash,8.2
316-66-3011,Member,Female,47.63,9,450.1035,1/23/2019,Cash,5
840-76-5966,Member,Male,12.76,2,26.796,1/8/2019,Ewallet,7.8
124-31-1458,Member,Female,79.59,3,250.7085,1/8/2019,Cash,6.6
852-82-2749,Normal,Male,64.59,4,271.278,1/6/2019,Ewallet,9.3
873-14-6353,Member,Male,24.82,7,182.427,2/16/2019,Credit card,7.1
166-19-2553,Member,Male,89.06,6,561.078,1/18/2019,Cash,9.9
737-88-5876,Member,Male,23.29,4,97.818,3/19/2019,Credit card,5.9
448-61-3783,Normal,Female,90.02,8,756.168,3/21/2019,Credit card,4.5
291-55-6563,Member,Female,34.42,6,216.846,3/30/2019,Ewallet,7.5
548-48-3156,Member,Female,83.34,2,175.014,3/19/2019,Cash,7.6
460-93-5834,Normal,Male,45.58,7,335.013,1/13/2019,Cash,5
325-89-4209,Member,Male,87.9,1,92.295,2/5/2019,Ewallet,6.7
884-80-6021,Member,Female,73.47,10,771.435,3/23/2019,Ewallet,9.5
880-46-5796,Member,Male,76.92,10,807.66,3/17/2019,Ewallet,5.6
146-09-5432,Member,Male,35.04,9,331.128,2/9/2019,Ewallet,4.6
595-94-9924,Member,Female,27.73,5,145.5825,3/26/2019,Credit card,4.2
865-41-9075,Normal,Male,11.53,7,84.7455,1/28/2019,Cash,8.1
186-71-5196,Member,Female,79.54,2,167.034,3/27/2019,Ewallet,6.2
453-33-6436,Normal,Female,93.12,8,782.208,2/7/2019,Cash,6.8
522-57-8364,Member,Male,51.34,8,431.256,1/31/2019,Ewallet,7.6
459-45-2396,Member,Female,99.6,3,313.74,2/25/2019,Cash,5.8
749-81-8133,Normal,Female,94.67,4,397.614,3/11/2019,Cash,6.8
397-25-8725,Member,Female,39.62,9,374.409,1/13/2019,Credit card,6.8
243-55-8457,Normal,Female,74.44,10,781.62,2/27/2019,Ewallet,5.1
361-85-2571,Normal,Female,89.48,5,469.77,3/30/2019,Cash,7.4
131-70-8179,Member,Female,92.09,3,290.0835,2/17/2019,Cash,4.2
720-72-2436,Normal,Male,66.52,4,279.384,3/2/2019,Ewallet,6.9
809-69-9497,Normal,Female,45.68,10,479.64,1/19/2019,Ewallet,5.7
449-16-6770,Normal,Male,50.79,5,266.6475,2/19/2019,Credit card,5.3
333-23-2632,Member,Male,10.08,7,74.088,3/28/2019,Cash,4.2
489-82-1237,Normal,Female,93.88,7,690.018,1/5/2019,Credit card,7.3
846-10-0341,Normal,Female,42.57,7,312.8895,1/6/2019,Cash,6.8
384-59-6655,Member,Female,98.66,9,932.337,2/19/2019,Cash,8.4
324-92-3863,Member,Male,20.89,2,43.869,2/5/2019,Cash,9.8
593-08-5916,Normal,Female,15.5,1,16.275,3/19/2019,Credit card,7.4
558-60-5016,Normal,Female,33.3,9,314.685,3/4/2019,Ewallet,7.2
195-06-0432,Member,Male,81.01,3,255.1815,1/13/2019,Credit card,9.3
605-03-2706,Normal,Female,15.8,3,49.77,3/25/2019,Cash,9.5
531-56-4728,Normal,Male,80.08,3,252.252,2/11/2019,Cash,5.4
221-25-5073,Normal,Female,74.66,4,313.572,3/4/2019,Cash,8.5
809-46-1866,Normal,Male,58.15,4,244.23,1/23/2019,Cash,8.4
139-32-4183,Member,Female,97.48,9,921.186,3/14/2019,Ewallet,7.4
886-18-2897,Normal,Female,56.56,5,296.94,3/22/2019,Credit card,4.5
745-74-0715,Normal,Male,58.03,2,121.863,3/10/2019,Ewallet,8.8
727-02-1313,Member,Male,31.84,1,33.432,2/9/2019,Cash,7.7
347-56-2442,Normal,Male,65.82,1,69.111,2/22/2019,Cash,4.1
849-09-3807,Member,Female,88.34,7,649.299,2/18/2019,Cash,6.6
