ì˙ït,ìXï‹,è§ïi,îÃîÑå¬êî
2017/6/8,1,1,26
2017/6/9,1,1,16
2017/6/10,1,1,41
2017/6/11,1,1,28
2017/6/12,1,1,23
2017/6/13,1,1,26
2017/6/14,1,1,32
2017/6/15,1,1,30
2017/6/16,1,1,26
2017/6/17,1,1,31
2017/6/18,1,1,38
2017/6/19,1,1,30
2017/6/20,1,1,22
2017/6/21,1,1,26
2017/6/22,1,1,24
2017/6/23,1,1,26
2017/6/24,1,1,30
2017/6/25,1,1,26
2017/6/26,1,1,21
2017/6/27,1,1,32
2017/6/28,1,1,50
2017/6/29,1,1,28
2017/6/30,1,1,28
2017/7/1,1,1,31
2017/7/2,1,1,38
2017/7/3,1,1,18
2017/7/4,1,1,23
2017/7/5,1,1,23
2017/7/6,1,1,31
2017/7/7,1,1,32
2017/7/8,1,1,27
2017/7/9,1,1,32
2017/7/10,1,1,16
2017/7/11,1,1,23
2017/7/12,1,1,29
2017/7/13,1,1,22
2017/7/14,1,1,38
2017/7/15,1,1,40
2017/7/16,1,1,36
2017/7/17,1,1,20
2017/7/18,1,1,26
2017/7/19,1,1,24
2017/7/20,1,1,37
2017/7/21,1,1,27
2017/7/22,1,1,35
2017/7/23,1,1,32
2017/7/24,1,1,27
2017/7/25,1,1,20
2017/7/26,1,1,28
2017/7/27,1,1,35
2017/7/28,1,1,25
2017/7/29,1,1,30
2017/7/30,1,1,26
2017/7/31,1,1,22
2017/8/1,1,1,18
2017/8/2,1,1,19
2017/8/3,1,1,25
2017/8/4,1,1,26
2017/8/5,1,1,35
2017/8/6,1,1,29
2017/8/7,1,1,20
2017/8/8,1,1,28
2017/8/9,1,1,28
2017/8/10,1,1,31
2017/8/11,1,1,25
2017/8/12,1,1,32
2017/8/13,1,1,32
2017/8/14,1,1,26
2017/8/15,1,1,18
2017/8/16,1,1,24
2017/8/17,1,1,21
2017/8/18,1,1,35
2017/8/19,1,1,29
2017/8/20,1,1,27
2017/8/21,1,1,19
2017/8/22,1,1,28
2017/8/23,1,1,26
2017/8/24,1,1,15
2017/8/25,1,1,30
2017/8/26,1,1,38
2017/8/27,1,1,26
2017/8/28,1,1,15
2017/8/29,1,1,21
2017/8/30,1,1,22
2017/8/31,1,1,26
2017/9/1,1,1,38
2017/9/2,1,1,26
2017/9/3,1,1,23
2017/9/4,1,1,12
2017/9/5,1,1,26
2017/9/6,1,1,24
2017/9/7,1,1,29
2017/9/8,1,1,28
2017/9/9,1,1,28
2017/9/10,1,1,30
2017/9/11,1,1,16
2017/9/12,1,1,20
2017/9/13,1,1,13
2017/9/14,1,1,26
2017/9/15,1,1,28
2017/9/16,1,1,27
2017/9/17,1,1,30
2017/9/18,1,1,22
2017/9/19,1,1,21
2017/9/20,1,1,20
2017/9/21,1,1,20
2017/9/22,1,1,28
2017/9/23,1,1,37
2017/9/24,1,1,24
2017/9/25,1,1,14
2017/9/26,1,1,18
2017/9/27,1,1,27
2017/9/28,1,1,23
2017/9/29,1,1,28
2017/9/30,1,1,30
2017/10/1,1,1,21
2017/10/2,1,1,12
2017/10/3,1,1,18
2017/10/4,1,1,15
2017/10/5,1,1,20
2017/10/6,1,1,19
2017/10/7,1,1,22
2017/10/8,1,1,19
2017/10/9,1,1,9
2017/10/10,1,1,23
2017/10/11,1,1,14
2017/10/12,1,1,24
2017/10/13,1,1,23
2017/10/14,1,1,26
2017/10/15,1,1,28
2017/10/16,1,1,19
2017/10/17,1,1,17
2017/10/18,1,1,15
2017/10/19,1,1,26
2017/10/20,1,1,22
2017/10/21,1,1,26
2017/10/22,1,1,32
2017/10/23,1,1,20
2017/10/24,1,1,23
2017/10/25,1,1,22
2017/10/26,1,1,28
2017/10/27,1,1,20
2017/10/28,1,1,22
2017/10/29,1,1,29
2017/10/30,1,1,22
2017/10/31,1,1,24
2017/11/1,1,1,16
2017/11/2,1,1,21
2017/11/3,1,1,18
2017/11/4,1,1,34
2017/11/5,1,1,23
2017/11/6,1,1,17
2017/11/7,1,1,23
2017/11/8,1,1,14
2017/11/9,1,1,21
2017/11/10,1,1,19
2017/11/11,1,1,24
2017/11/12,1,1,27
2017/11/13,1,1,22
2017/11/14,1,1,16
2017/11/15,1,1,19
2017/11/16,1,1,22
2017/11/17,1,1,25
2017/11/18,1,1,31
2017/11/19,1,1,32
2017/11/20,1,1,21
2017/11/21,1,1,29
2017/11/22,1,1,27
2017/11/23,1,1,25
2017/11/24,1,1,22
2017/11/25,1,1,29
2017/11/26,1,1,24
2017/11/27,1,1,10
2017/11/28,1,1,14
2017/11/29,1,1,28
2017/11/30,1,1,15
2017/12/1,1,1,19
2017/12/2,1,1,16
2017/12/3,1,1,31
2017/12/4,1,1,7
2017/12/5,1,1,20
2017/12/6,1,1,17
2017/12/7,1,1,18
2017/12/8,1,1,17
2017/12/9,1,1,27
2017/12/10,1,1,20
2017/12/11,1,1,20
2017/12/12,1,1,13
2017/12/13,1,1,17
2017/12/14,1,1,14
2017/12/15,1,1,16
2017/12/16,1,1,15
2017/12/17,1,1,22
2017/12/18,1,1,19
2017/12/19,1,1,7
2017/12/20,1,1,16
2017/12/21,1,1,12
2017/12/22,1,1,6
2017/12/23,1,1,18
2017/12/24,1,1,19
2017/12/25,1,1,13
2017/12/26,1,1,16
2017/12/27,1,1,14
2017/12/28,1,1,19
2017/12/29,1,1,15
2017/12/30,1,1,27
2017/12/31,1,1,23
2017/1/1,1,2,40
2017/1/2,1,2,26
2017/1/3,1,2,33
2017/1/4,1,2,41
2017/1/5,1,2,39
2017/1/6,1,2,43
2017/1/7,1,2,46
2017/1/8,1,2,58
2017/1/9,1,2,31
2017/1/10,1,2,36
2017/1/11,1,2,42
2017/1/12,1,2,39
2017/1/13,1,2,34
2017/1/14,1,2,29
2017/1/15,1,2,47
2017/1/16,1,2,21
2017/1/17,1,2,37
2017/1/18,1,2,41
2017/1/19,1,2,51
2017/1/20,1,2,48
2017/1/21,1,2,42
2017/1/22,1,2,49
2017/1/23,1,2,25
2017/1/24,1,2,44
2017/1/25,1,2,38
2017/1/26,1,2,30
2017/1/27,1,2,32
2017/1/28,1,2,48
2017/1/29,1,2,47
2017/1/30,1,2,28
2017/1/31,1,2,37
2017/2/1,1,2,34
2017/2/2,1,2,47
2017/2/3,1,2,45
2017/2/4,1,2,42
2017/2/5,1,2,38
2017/2/6,1,2,38
2017/2/7,1,2,33
2017/2/8,1,2,37
2017/2/9,1,2,39
2017/2/10,1,2,38
2017/2/11,1,2,52
2017/2/12,1,2,47
2017/2/13,1,2,45
2017/2/14,1,2,46
2017/2/15,1,2,38
2017/2/16,1,2,46
2017/2/17,1,2,59
2017/2/18,1,2,47
2017/2/19,1,2,55
2017/2/20,1,2,32
2017/2/21,1,2,26
2017/2/22,1,2,45
2017/2/23,1,2,50
2017/2/24,1,2,49
2017/2/25,1,2,46
2017/2/26,1,2,41
2017/2/27,1,2,44
2017/2/28,1,2,37
2017/3/1,1,2,48
2017/3/2,1,2,54
2017/3/3,1,2,47
2017/3/4,1,2,70
2017/3/5,1,2,57
2017/3/6,1,2,36
2017/3/7,1,2,57
2017/3/8,1,2,51
2017/3/9,1,2,43
2017/3/10,1,2,53
2017/3/11,1,2,54
2017/3/12,1,2,63
2017/3/13,1,2,52
2017/3/14,1,2,56
2017/3/15,1,2,59
2017/3/16,1,2,52
2017/3/17,1,2,52
2017/3/18,1,2,55
2017/3/19,1,2,65
2017/3/20,1,2,34
2017/3/21,1,2,47
2017/3/22,1,2,33
2017/3/23,1,2,51
2017/3/24,1,2,62
2017/3/25,1,2,55
2017/3/26,1,2,55
2017/3/27,1,2,40
2017/3/28,1,2,45
2017/3/29,1,2,45
2017/3/30,1,2,44
2017/3/31,1,2,57
2017/4/1,1,2,61
2017/4/2,1,2,66
2017/4/3,1,2,43
2017/4/4,1,2,53
2017/4/5,1,2,76
2017/4/6,1,2,62
2017/4/7,1,2,62
2017/4/8,1,2,77
2017/4/9,1,2,86
2017/4/10,1,2,52
2017/4/11,1,2,68
2017/4/12,1,2,59
2017/4/13,1,2,71
2017/4/14,1,2,78
2017/4/15,1,2,79
2017/4/16,1,2,60
2017/4/17,1,2,58
2017/4/18,1,2,51
2017/4/19,1,2,64
2017/4/20,1,2,48
2017/4/21,1,2,61
2017/4/22,1,2,71
2017/4/23,1,2,88
2017/4/24,1,2,54
2017/4/25,1,2,61
2017/4/26,1,2,59
2017/4/27,1,2,58
2017/4/28,1,2,61
2017/4/29,1,2,84
2017/4/30,1,2,80
2017/5/1,1,2,60
2017/5/2,1,2,66
2017/5/3,1,2,51
2017/5/4,1,2,63
2017/5/5,1,2,79
2017/5/6,1,2,76
2017/5/7,1,2,67
2017/5/8,1,2,64
2017/5/9,1,2,73
2017/5/10,1,2,55
2017/5/11,1,2,83
2017/5/12,1,2,82
2017/5/13,1,2,85
2017/5/14,1,2,85
2017/5/15,1,2,54
2017/5/16,1,2,61
2017/5/17,1,2,68
2017/5/18,1,2,76
2017/5/19,1,2,72
2017/5/20,1,2,89
2017/5/21,1,2,91
2017/5/22,1,2,48
2017/5/23,1,2,62
2017/5/24,1,2,73
2017/5/25,1,2,66
2017/5/26,1,2,66
2017/5/27,1,2,82
2017/5/28,1,2,48
2017/5/29,1,2,39
2017/5/30,1,2,57
2017/5/31,1,2,60
2017/6/1,1,2,83
2017/6/2,1,2,85
2017/6/3,1,2,106
2017/6/4,1,2,103
2017/6/5,1,2,54
2017/6/6,1,2,67
2017/6/7,1,2,67
2017/6/8,1,2,68
2017/6/9,1,2,75
2017/6/10,1,2,85
2017/6/11,1,2,87
2017/6/12,1,2,66
2017/6/13,1,2,79
2017/6/14,1,2,63
2017/6/15,1,2,77
2017/6/16,1,2,76
2017/6/17,1,2,82
2017/6/18,1,2,77
2017/6/19,1,2,54
2017/6/20,1,2,66
2017/6/21,1,2,56
2017/6/22,1,2,64
2017/6/23,1,2,75
2017/6/24,1,2,88
2017/6/25,1,2,101
2017/6/26,1,2,48
2017/6/27,1,2,53
2017/6/28,1,2,63
2017/6/29,1,2,64
2017/6/30,1,2,82
2017/7/1,1,2,83
2017/7/2,1,2,98
2017/7/3,1,2,52
2017/7/4,1,2,66
2017/7/5,1,2,67
2017/7/6,1,2,67
2017/7/7,1,2,80
2017/7/8,1,2,94
2017/7/9,1,2,97
2017/7/10,1,2,49
2017/7/11,1,2,65
2017/7/12,1,2,76
2017/7/13,1,2,63
2017/7/14,1,2,84
2017/7/15,1,2,86
2017/7/16,1,2,115
2017/7/17,1,2,64
2017/7/18,1,2,76
2017/7/19,1,2,81
2017/7/20,1,2,76
2017/7/21,1,2,81
2017/7/22,1,2,94
2017/7/23,1,2,89
2017/7/24,1,2,53
2017/7/25,1,2,70
2017/7/26,1,2,67
2017/7/27,1,2,73
2017/7/28,1,2,73
2017/7/29,1,2,86
2017/7/30,1,2,86
2017/7/31,1,2,59
2017/8/1,1,2,58
2017/8/2,1,2,59
2017/8/3,1,2,72
2017/8/4,1,2,77
2017/8/5,1,2,65
2017/8/6,1,2,89
2017/8/7,1,2,54
2017/8/8,1,2,81
2017/8/9,1,2,58
2017/8/10,1,2,72
2017/8/11,1,2,74
2017/8/12,1,2,67
2017/8/13,1,2,78
2017/8/14,1,2,50
2017/8/15,1,2,59
2017/8/16,1,2,48
2017/8/17,1,2,64
2017/8/18,1,2,70
2017/8/19,1,2,78
2017/8/20,1,2,90
2017/8/21,1,2,46
2017/8/22,1,2,62
2017/8/23,1,2,65
2017/8/24,1,2,69
2017/8/25,1,2,91
2017/8/26,1,2,70
2017/8/27,1,2,94
2017/8/28,1,2,55
2017/8/29,1,2,42
2017/8/30,1,2,77
2017/8/31,1,2,55
2017/9/1,1,2,67
2017/9/2,1,2,78
2017/9/3,1,2,87
2017/9/4,1,2,51
2017/9/5,1,2,54
2017/9/6,1,2,69
2017/9/7,1,2,59
2017/9/8,1,2,65
2017/9/9,1,2,71
2017/9/10,1,2,64
2017/9/11,1,2,44
2017/9/12,1,2,58
2017/9/13,1,2,57
2017/9/14,1,2,71
2017/9/15,1,2,60
2017/9/16,1,2,75
2017/9/17,1,2,58
2017/9/18,1,2,47
2017/9/19,1,2,66
2017/9/20,1,2,61
2017/9/21,1,2,66
2017/9/22,1,2,70
2017/9/23,1,2,85
2017/9/24,1,2,73
2017/9/25,1,2,49
2017/9/26,1,2,61
2017/9/27,1,2,57
2017/9/28,1,2,55
2017/9/29,1,2,66
2017/9/30,1,2,79
2017/10/1,1,2,60
2017/10/2,1,2,56
2017/10/3,1,2,55
2017/10/4,1,2,55
2017/10/5,1,2,59
2017/10/6,1,2,54
2017/10/7,1,2,61
2017/10/8,1,2,60
2017/10/9,1,2,46
2017/10/10,1,2,52
2017/10/11,1,2,55
2017/10/12,1,2,48
2017/10/13,1,2,53
2017/10/14,1,2,64
2017/10/15,1,2,64
2017/10/16,1,2,44
2017/10/17,1,2,47
2017/10/18,1,2,70
2017/10/19,1,2,45
2017/10/20,1,2,51
2017/10/21,1,2,70
2017/10/22,1,2,61
2017/10/23,1,2,45
2017/10/24,1,2,56
2017/10/25,1,2,66
2017/10/26,1,2,44
2017/10/27,1,2,66
2017/10/28,1,2,61
2017/10/29,1,2,77
2017/10/30,1,2,53
2017/10/31,1,2,50
2017/11/1,1,2,63
2017/11/2,1,2,67
2017/11/3,1,2,75
2017/11/4,1,2,68
2017/11/5,1,2,74
2017/11/6,1,2,69
2017/11/7,1,2,68
2017/11/8,1,2,58
2017/11/9,1,2,62
2017/11/10,1,2,58
2017/11/11,1,2,69
2017/11/12,1,2,76
2017/11/13,1,2,61
2017/11/14,1,2,57
2017/11/15,1,2,55
2017/11/16,1,2,53
2017/11/17,1,2,75
2017/11/18,1,2,78
2017/11/19,1,2,73
2017/11/20,1,2,54
2017/11/21,1,2,55
2017/11/22,1,2,51
2017/11/23,1,2,73
2017/11/24,1,2,68
2017/11/25,1,2,63
2017/11/26,1,2,78
2017/11/27,1,2,58
2017/11/28,1,2,57
2017/11/29,1,2,66
2017/11/30,1,2,80
2017/12/1,1,2,56
2017/12/2,1,2,64
2017/12/3,1,2,59
2017/12/4,1,2,33
2017/12/5,1,2,45
2017/12/6,1,2,50
2017/12/7,1,2,47
2017/12/8,1,2,44
2017/12/9,1,2,50
2017/12/10,1,2,50
2017/12/11,1,2,43
2017/12/12,1,2,37
2017/12/13,1,2,50
2017/12/14,1,2,42
2017/12/15,1,2,52
2017/12/16,1,2,48
2017/12/17,1,2,55
2017/12/18,1,2,37
2017/12/19,1,2,41
2017/12/20,1,2,35
2017/12/21,1,2,39
2017/12/22,1,2,41
2017/12/23,1,2,52
2017/12/24,1,2,47
2017/12/25,1,2,37
2017/12/26,1,2,43
2017/12/27,1,2,55
2017/12/28,1,2,50
2017/12/29,1,2,50
2017/12/30,1,2,56
2017/12/31,1,2,67
2017/1/1,1,3,36
2017/1/2,1,3,23
2017/1/3,1,3,20
2017/1/4,1,3,23
2017/1/5,1,3,25
2017/1/6,1,3,23
2017/1/7,1,3,26
2017/1/8,1,3,32
2017/1/9,1,3,23
2017/1/10,1,3,17
2017/1/11,1,3,15
2017/1/12,1,3,37
2017/1/13,1,3,31
2017/1/14,1,3,30
2017/1/15,1,3,22
2017/1/16,1,3,19
2017/1/17,1,3,20
2017/1/18,1,3,34
2017/1/19,1,3,22
2017/1/20,1,3,26
2017/1/21,1,3,33
2017/1/22,1,3,33
2017/1/23,1,3,17
2017/1/24,1,3,19
2017/1/25,1,3,25
2017/1/26,1,3,17
2017/1/27,1,3,28
2017/1/28,1,3,30
2017/1/29,1,3,27
2017/1/30,1,3,27
2017/1/31,1,3,28
2017/2/1,1,3,25
2017/2/2,1,3,20
2017/2/3,1,3,31
2017/2/4,1,3,19
2017/2/5,1,3,38
2017/2/6,1,3,23
2017/2/7,1,3,27
2017/2/8,1,3,20
2017/2/9,1,3,30
2017/2/10,1,3,37
2017/2/11,1,3,23
2017/2/12,1,3,31
2017/2/13,1,3,28
2017/2/14,1,3,19
2017/2/15,1,3,22
2017/2/16,1,3,33
2017/2/17,1,3,29
2017/2/18,1,3,39
2017/2/19,1,3,34
2017/2/20,1,3,24
2017/2/21,1,3,29
2017/2/22,1,3,25
2017/2/23,1,3,19
2017/2/24,1,3,35
2017/2/25,1,3,29
2017/2/26,1,3,32
2017/2/27,1,3,25
2017/2/28,1,3,31
2017/3/1,1,3,40
2017/3/2,1,3,34
2017/3/3,1,3,32
2017/3/4,1,3,32
2017/3/5,1,3,41
2017/3/6,1,3,19
2017/3/7,1,3,30
2017/3/8,1,3,35
2017/3/9,1,3,27
2017/3/10,1,3,36
2017/3/11,1,3,35
2017/3/12,1,3,34
2017/3/13,1,3,28
2017/3/14,1,3,34
2017/3/15,1,3,37
2017/3/16,1,3,33
2017/3/17,1,3,28
2017/3/18,1,3,36
2017/3/19,1,3,48
2017/3/20,1,3,22
2017/3/21,1,3,32
2017/3/22,1,3,20
2017/3/23,1,3,33
2017/3/24,1,3,39
2017/3/25,1,3,41
2017/3/26,1,3,44
2017/3/27,1,3,32
2017/3/28,1,3,29
2017/3/29,1,3,28
2017/3/30,1,3,28
2017/3/31,1,3,36
2017/4/1,1,3,40
2017/4/2,1,3,43
2017/4/3,1,3,33
2017/4/4,1,3,32
2017/4/5,1,3,42
2017/4/6,1,3,40
2017/4/7,1,3,45
2017/4/8,1,3,32
2017/4/9,1,3,42
2017/4/10,1,3,31
2017/4/11,1,3,34
2017/4/12,1,3,43
2017/4/13,1,3,39
2017/4/14,1,3,43
2017/4/15,1,3,49
2017/4/16,1,3,49
2017/4/17,1,3,40
2017/4/18,1,3,27
2017/4/19,1,3,38
2017/4/20,1,3,41
2017/4/21,1,3,37
2017/4/22,1,3,44
2017/4/23,1,3,43
2017/4/24,1,3,39
2017/4/25,1,3,52
2017/4/26,1,3,39
2017/4/27,1,3,41
2017/4/28,1,3,39
2017/4/29,1,3,44
2017/4/30,1,3,46
2017/5/1,1,3,25
2017/5/2,1,3,45
2017/5/3,1,3,49
2017/5/4,1,3,43
2017/5/5,1,3,51
2017/5/6,1,3,44
2017/5/7,1,3,66
2017/5/8,1,3,36
2017/5/9,1,3,31
2017/5/10,1,3,44
2017/5/11,1,3,34
2017/5/12,1,3,39
2017/5/13,1,3,59
2017/5/14,1,3,47
2017/5/15,1,3,33
2017/5/16,1,3,38
2017/5/17,1,3,41
2017/5/18,1,3,38
2017/5/19,1,3,48
2017/5/20,1,3,54
2017/5/21,1,3,49
2017/5/22,1,3,33
2017/5/23,1,3,41
2017/5/24,1,3,40
2017/5/25,1,3,37
2017/5/26,1,3,65
2017/5/27,1,3,59
2017/5/28,1,3,62
2017/5/29,1,3,37
2017/5/30,1,3,44
2017/5/31,1,3,55
2017/6/1,1,3,57
2017/6/2,1,3,54
2017/6/3,1,3,37
2017/6/4,1,3,54
2017/6/5,1,3,48
2017/6/6,1,3,41
2017/6/7,1,3,42
2017/6/8,1,3,53
2017/6/9,1,3,49
2017/6/10,1,3,44
2017/6/11,1,3,46
2017/6/12,1,3,44
2017/6/13,1,3,34
2017/6/14,1,3,48
2017/6/15,1,3,49
2017/6/16,1,3,50
2017/6/17,1,3,67
2017/6/18,1,3,57
2017/6/19,1,3,30
2017/6/20,1,3,44
2017/6/21,1,3,47
2017/6/22,1,3,31
2017/6/23,1,3,45
2017/6/24,1,3,51
2017/6/25,1,3,52
2017/6/26,1,3,23
2017/6/27,1,3,39
2017/6/28,1,3,40
2017/6/29,1,3,35
2017/6/30,1,3,45
2017/7/1,1,3,41
2017/7/2,1,3,58
2017/7/3,1,3,36
2017/7/4,1,3,47
2017/7/5,1,3,41
2017/7/6,1,3,43
2017/7/7,1,3,49
2017/7/8,1,3,57
2017/7/9,1,3,59
2017/7/10,1,3,43
2017/7/11,1,3,33
2017/7/12,1,3,48
2017/7/13,1,3,54
2017/7/14,1,3,65
2017/7/15,1,3,47
2017/7/16,1,3,69
2017/7/17,1,3,46
2017/7/18,1,3,43
2017/7/19,1,3,40
2017/7/20,1,3,41
2017/7/21,1,3,59
2017/7/22,1,3,43
2017/7/23,1,3,68
2017/7/24,1,3,46
2017/7/25,1,3,39
2017/7/26,1,3,37
2017/7/27,1,3,41
2017/7/28,1,3,60
2017/7/29,1,3,55
2017/7/30,1,3,56
2017/7/31,1,3,37
2017/8/1,1,3,43
2017/8/2,1,3,31
2017/8/3,1,3,37
2017/8/4,1,3,29
2017/8/5,1,3,68
2017/8/6,1,3,46
2017/8/7,1,3,36
2017/8/8,1,3,35
2017/8/9,1,3,26
2017/8/10,1,3,42
2017/8/11,1,3,41
2017/8/12,1,3,42
2017/8/13,1,3,61
2017/8/14,1,3,33
2017/8/15,1,3,38
2017/8/16,1,3,32
2017/8/17,1,3,29
2017/8/18,1,3,39
2017/8/19,1,3,47
2017/8/20,1,3,59
2017/8/21,1,3,50
2017/8/22,1,3,45
2017/8/23,1,3,48
2017/8/24,1,3,45
2017/8/25,1,3,46
2017/8/26,1,3,51
2017/8/27,1,3,52
2017/8/28,1,3,21
2017/8/29,1,3,40
2017/8/30,1,3,29
2017/8/31,1,3,37
2017/9/1,1,3,41
2017/9/2,1,3,47
2017/9/3,1,3,41
2017/9/4,1,3,40
2017/9/5,1,3,43
2017/9/6,1,3,51
2017/9/7,1,3,44
2017/9/8,1,3,46
2017/9/9,1,3,36
2017/9/10,1,3,36
2017/9/11,1,3,29
2017/9/12,1,3,30
2017/9/13,1,3,34
2017/9/14,1,3,41
2017/9/15,1,3,45
2017/9/16,1,3,41
2017/9/17,1,3,49
2017/9/18,1,3,42
2017/9/19,1,3,32
2017/9/20,1,3,28
2017/9/21,1,3,34
2017/9/22,1,3,46
2017/9/23,1,3,52
2017/9/24,1,3,47
2017/9/25,1,3,26
2017/9/26,1,3,38
2017/9/27,1,3,41
2017/9/28,1,3,37
2017/9/29,1,3,35
2017/9/30,1,3,48
2017/10/1,1,3,38
2017/10/2,1,3,32
2017/10/3,1,3,28
2017/10/4,1,3,34
2017/10/5,1,3,40
2017/10/6,1,3,34
2017/10/7,1,3,34
2017/10/8,1,3,47
2017/10/9,1,3,18
2017/10/10,1,3,35
2017/10/11,1,3,39
2017/10/12,1,3,29
2017/10/13,1,3,33
2017/10/14,1,3,42
2017/10/15,1,3,49
2017/10/16,1,3,31
2017/10/17,1,3,37
2017/10/18,1,3,40
2017/10/19,1,3,38
2017/10/20,1,3,41
2017/10/21,1,3,45
2017/10/22,1,3,31
2017/10/23,1,3,30
2017/10/24,1,3,43
2017/10/25,1,3,32
2017/10/26,1,3,35
2017/10/27,1,3,38
2017/10/28,1,3,43
2017/10/29,1,3,31
2017/10/30,1,3,27
2017/10/31,1,3,26
2017/11/1,1,3,50
2017/11/2,1,3,41
2017/11/3,1,3,43
2017/11/4,1,3,41
2017/11/5,1,3,51
2017/11/6,1,3,43
2017/11/7,1,3,37
2017/11/8,1,3,31
2017/11/9,1,3,37
2017/11/10,1,3,23
2017/11/11,1,3,39
2017/11/12,1,3,53
2017/11/13,1,3,35
2017/11/14,1,3,29
2017/11/15,1,3,37
2017/11/16,1,3,38
2017/11/17,1,3,35
2017/11/18,1,3,43
2017/11/19,1,3,43
2017/11/20,1,3,36
2017/11/21,1,3,40
2017/11/22,1,3,38
2017/11/23,1,3,40
2017/11/24,1,3,37
2017/11/25,1,3,41
2017/11/26,1,3,43
2017/11/27,1,3,23
2017/11/28,1,3,36
2017/11/29,1,3,42
2017/11/30,1,3,31
2017/12/1,1,3,30
2017/12/2,1,3,31
2017/12/3,1,3,34
2017/12/4,1,3,21
2017/12/5,1,3,15
2017/12/6,1,3,32
2017/12/7,1,3,34
2017/12/8,1,3,27
